"date","change","deposits","withdrawals"
2006-06-26,6245,12360,6115
2006-06-27,-2374,4461,6835
2006-06-28,-2514,8902,11416
2006-06-29,-3810,68287,72096
2006-06-30,-3893,54290,58183
2006-07-03,-25426,23313,48739
2006-07-05,-2524,6159,8683
2006-07-06,-541,71796,72337
2006-07-07,-1194,6611,7805
2006-07-10,3646,9948,6302
2006-07-11,-3483,3475,6958
2006-07-12,-2422,8435,10857
2006-07-13,2052,64055,62002
2006-07-14,-696,10641,11337
2006-07-17,-603,36691,37294
2006-07-18,-2190,4550,6740
2006-07-19,16,10064,10048
2006-07-20,309,65929,65620
2006-07-21,-425,6256,6681
2006-07-24,4205,9940,5735
2006-07-25,-3567,3721,7288
2006-07-26,-2704,8898,11603
2006-07-27,3059,74558,71499
2006-07-28,-713,8546,9259
2006-07-31,25118,66264,41146
2006-08-01,-23567,13691,37258
2006-08-02,4544,11273,6729
2006-08-03,-13250,80395,93645
2006-08-04,1108,8699,7591
2006-08-07,3153,10125,6972
2006-08-08,-3418,3619,7037
2006-08-09,-2931,8574,11505
2006-08-10,5119,78130,73011
2006-08-11,-2252,6658,8910
2006-08-14,4128,12416,8288
2006-08-15,-6468,58836,65304
2006-08-16,4187,15473,11286
2006-08-17,7382,79596,72214
2006-08-18,2003,7915,5912
2006-08-21,5332,11533,6201
2006-08-22,-2964,3525,6489
2006-08-23,-3270,7898,11168
2006-08-24,-3676,77905,81581
2006-08-25,-2121,6989,9109
2006-08-28,4011,11312,7301
2006-08-29,-2209,5648,7857
2006-08-30,1109,7766,6658
2006-08-31,2790,124860,122070
2006-09-01,-11948,44763,56711
2006-09-05,4218,12307,8088
2006-09-06,-2320,7120,9439
2006-09-07,1297,84781,83484
2006-09-08,-1573,8305,9878
2006-09-11,3748,11823,8076
2006-09-12,-551,7291,7842
2006-09-13,-1090,10096,11185
2006-09-14,-1435,82436,83871
2006-09-15,34474,94590,60117
2006-09-18,15181,21602,6421
2006-09-19,13909,20562,6654
2006-09-20,5445,17176,11731
2006-09-21,-12282,68851,81134
2006-09-22,1901,10539,8638
2006-09-25,6235,14152,7917
2006-09-26,-517,6222,6738
2006-09-27,-1454,10619,12073
2006-09-28,-17028,62531,79558
2006-09-29,-519,13426,13945
2006-10-02,651,64756,64106
2006-10-03,-26038,4454,30492
2006-10-04,791,10749,9958
2006-10-05,-6937,58970,65906
2006-10-06,-1863,7775,9638
2006-10-10,1912,11454,9543
2006-10-11,-8716,6095,14811
2006-10-12,-206,61879,62085
2006-10-13,-1313,8837,10149
2006-10-16,2082,36024,33941
2006-10-17,-300,6141,6441
2006-10-18,2732,14972,12240
2006-10-19,9069,69658,60589
2006-10-20,-1198,8991,10189
2006-10-24,-969,5876,6845
2006-10-25,-1738,9892,11631
2006-10-26,8544,69469,60925
2006-10-27,728,8094,7366
2006-10-30,3474,10382,6908
2006-10-31,20241,59872,39631
2006-11-01,-17377,18655,36033
2006-11-02,13011,76390,63379
2006-11-03,-20851,9272,30123
2006-11-06,1969,10746,8777
2006-11-07,-5224,3661,8885
2006-11-08,-2714,9700,12414
2006-11-09,9623,74017,64395
2006-11-13,4313,9965,5652
2006-11-14,-2679,5943,8622
2006-11-15,-32992,71951,104943
2006-11-16,10387,83772,73385
2006-11-17,-2995,6477,9472
2006-11-20,1522,10838,9316
2006-11-21,-3909,4371,8280
2006-11-22,-3930,10323,14253
2006-11-24,11728,84142,72414
2006-11-27,2189,7557,5368
2006-11-28,-5735,3433,9168
2006-11-29,2859,10721,7862
2006-11-30,3549,124859,121310
2006-12-01,-15347,45975,61323
2006-12-04,2072,12737,10666
2006-12-05,5619,14809,9190
2006-12-06,2757,10755,7998
2006-12-07,-5085,73151,78237
2006-12-08,319,6855,6536
2006-12-11,4436,11185,6749
2006-12-12,-3260,5146,8406
2006-12-13,-1113,11133,12246
2006-12-14,-6125,74940,81065
2006-12-15,40150,95172,55022
2006-12-18,13837,22253,8416
2006-12-19,-2045,5299,7344
2006-12-20,2606,13992,11386
2006-12-21,-15479,67618,83097
2006-12-22,3019,10436,7417
2006-12-26,7278,15311,8033
2006-12-27,-7143,6559,13702
2006-12-28,-14476,68588,83064
2006-12-29,-2256,15803,18060
2007-01-02,9305,75764,66459
2007-01-03,-19424,8422,27846
2007-01-04,-6933,67652,74585
2007-01-05,433,8699,8267
2007-01-08,4883,11980,7097
2007-01-09,982,8528,7546
2007-01-10,-2993,9396,12389
2007-01-11,-3663,60175,63839
2007-01-12,-516,11947,12462
2007-01-16,8156,44159,36003
2007-01-17,8491,21482,12990
2007-01-18,853,66359,65506
2007-01-19,4553,11319,6766
2007-01-22,13262,19604,6342
2007-01-23,11172,17727,6555
2007-01-24,2029,13217,11188
2007-01-25,-3271,62148,65418
2007-01-26,-6940,9018,15958
2007-01-29,11470,19132,7662
2007-01-30,-3107,4282,7389
2007-01-31,24417,62539,38121
2007-02-01,-17599,77240,94839
2007-02-02,-28633,9526,38159
2007-02-05,3303,11478,8174
2007-02-06,-3689,4901,8590
2007-02-07,3324,11070,7746
2007-02-08,7662,73829,66166
2007-02-09,-22157,7181,29338
2007-02-12,3153,12335,9182
2007-02-13,-4154,3555,7709
2007-02-14,-1677,10528,12206
2007-02-15,-8678,126271,134949
2007-02-16,-8693,22804,31497
2007-02-20,7804,14953,7149
2007-02-21,-6224,6865,13089
2007-02-22,14792,91321,76529
2007-02-23,-15483,9440,24923
2007-02-26,5460,13934,8474
2007-02-27,-3261,5344,8605
2007-02-28,2435,52011,49577
2007-03-01,4708,103552,98844
2007-03-02,-10255,32885,43140
2007-03-05,5014,13696,8681
2007-03-06,-1429,7500,8929
2007-03-07,3322,12004,8682
2007-03-08,8346,86872,78526
2007-03-09,-11669,8072,19741
2007-03-12,5914,15345,9432
2007-03-13,-4198,4461,8659
2007-03-14,1908,14858,12950
2007-03-15,19330,130506,111176
2007-03-16,2596,19881,17286
2007-03-19,4107,11349,7242
2007-03-20,-3058,4501,7559
2007-03-21,-1734,11569,13303
2007-03-22,-2911,83132,86043
2007-03-23,-8559,7885,16444
2007-03-26,3215,11951,8737
2007-03-27,-5613,4695,10308
2007-03-28,-5632,8905,14537
2007-03-29,-5016,80878,85893
2007-03-30,-3927,26721,30648
2007-04-02,7758,63499,55741
2007-04-03,-7638,22279,29917
2007-04-04,2447,11897,9450
2007-04-05,4585,87500,82915
2007-04-06,-6649,8941,15590
2007-04-09,2611,11640,9029
2007-04-10,-1166,8245,9411
2007-04-11,2031,15585,13554
2007-04-12,-6143,75382,81526
