,count,percentage,total,day,raw_count
debt+ceiling,10.0,0.00765151920913897,130693,2012-05-16,10.0
debt+ceiling,5.0,0.00476853529669827,104854,2012-05-17,5.0
debt+ceiling,4.0,0.00706776216980299,56595,2012-05-22,4.0
debt+ceiling,1.0,0.0007495521425948,133413,2012-05-24,1.0
debt+ceiling,3.0,0.00442549676201154,67789,2012-06-01,3.0
debt+ceiling,3.0,0.00256583505101735,116921,2012-06-07,3.0
debt+ceiling,1.0,0.00382775119617225,26125,2012-06-08,1.0
debt+ceiling,1.0,0.00127775932125425,78262,2012-06-12,1.0
debt+ceiling,1.0,0.0016267304344997,61473,2012-06-13,1.0
debt+ceiling,2.0,0.00302672599049608,66078,2012-06-14,2.0
debt+ceiling,2.0,0.00138876351440495,144013,2012-06-21,2.0
debt+ceiling,3.0,0.00302462041013853,99186,2012-06-26,3.0
debt+ceiling,1.0,0.000743350727740362,134526,2012-06-27,1.0
debt+ceiling,3.0,0.00329149477749495,91144,2012-07-10,3.0
debt+ceiling,2.0,0.00255721774709117,78210,2012-07-11,2.0
debt+ceiling,1.0,0.00119655869718689,83573,2012-07-16,1.0
debt+ceiling,7.0,0.00715819613457409,97790,2012-07-17,7.0
debt+ceiling,9.0,0.00907962834054659,99123,2012-07-18,9.0
debt+ceiling,1.0,0.000669120107059217,149450,2012-07-24,1.0
debt+ceiling,3.0,0.0,0,2012-07-25,3.0
debt+ceiling,1.0,0.000426252008712591,234603,2012-07-31,1.0
debt+ceiling,1.0,0.000560475283040018,178420,2012-08-01,1.0
debt+ceiling,8.0,0.00368576970389448,217051,2012-08-02,8.0
debt+ceiling,2.0,0.00150340897986184,133031,2012-09-10,2.0
debt+ceiling,2.0,0.00150547994700711,132848,2012-09-11,2.0
debt+ceiling,3.0,0.00245489137105683,122205,2012-09-12,3.0
debt+ceiling,5.0,0.00222199508494687,225023,2012-09-13,5.0
debt+ceiling,4.0,0.00200931316652685,199073,2012-09-19,4.0
debt+ceiling,5.0,0.00301837587231063,165652,2012-09-20,5.0
debt+ceiling,3.0,0.00194695204657109,154087,2012-11-15,3.0
debt+ceiling,5.0,0.0173274189076795,28856,2012-11-26,5.0
debt+ceiling,2.0,0.00422404325420292,47348,2012-11-30,2.0
debt+ceiling,3.0,0.00323774782261459,92657,2012-12-04,3.0
debt+ceiling,9.0,0.00755407458389639,119141,2012-12-05,9.0
debt+ceiling,27.0,0.0444788560697165,60703,2012-12-06,27.0
debt+ceiling,1.0,0.00434782608695652,23000,2012-12-10,1.0
debt+ceiling,9.0,0.0122302549328695,73588,2012-12-11,9.0
debt+ceiling,40.0,0.0274719614293662,145603,2012-12-12,40.0
debt+ceiling,21.0,0.0167850948357858,125111,2012-12-13,21.0
debt+ceiling,2.0,0.00343294598259496,58259,2012-12-28,2.0
debt+ceiling,18.0,0.0132035473530555,136327,2012-12-31,18.0
debt+ceiling,11.0,0.0224810954424688,48930,2013-01-01,11.0
debt+ceiling,3.0,0.00500100020004001,59988,2013-01-03,3.0
debt+ceiling,1.0,0.00361232525376585,27683,2013-01-04,1.0
debt+ceiling,2.0,0.0108843537414966,18375,2013-01-14,2.0
debt+ceiling,15.0,0.0369248947640499,40623,2013-01-15,15.0
debt+ceiling,21.0,0.0143253770643892,146593,2013-01-22,21.0
debt+ceiling,8.0,0.00915070060051473,87425,2013-01-23,8.0
debt+ceiling,5.0,0.00658848333113717,75890,2013-01-24,5.0
debt+ceiling,2.0,0.00441092144148913,45342,2013-01-28,2.0
debt+ceiling,2.0,0.00356690624386938,56071,2013-01-29,2.0
debt+ceiling,1.0,0.00190258751902588,52560,2013-01-30,1.0
debt+ceiling,31.0,0.0739010203108611,41948,2013-01-31,31.0
,count,percentage,total,day,raw_count
debt-ceiling,3.0,0.00154586583945668,194066,2004-09-21,3.0
debt-ceiling,1.0,0.000256188882939614,390337,2008-07-23,1.0
debt-ceiling,1.0,0.000376889156898956,265330,2009-01-06,1.0
debt-ceiling,5.0,0.00313629064632678,159424,2011-05-05,5.0
debt-ceiling,1.0,0.0025120578778135,39808,2011-06-27,1.0
debt-ceiling,1.0,0.00113308027873775,88255,2011-06-30,1.0
debt-ceiling,1.0,0.000486099971320102,205719,2011-07-06,1.0
debt-ceiling,1.0,0.000580467276157307,172275,2011-07-19,1.0
debt-ceiling,1.0,0.000508828168727421,196530,2011-07-27,1.0
debt-ceiling,2.0,0.00104773479736809,190888,2011-07-28,2.0
debt-ceiling,1.0,0.000577730789006939,173091,2011-07-29,1.0
debt-ceiling,5.0,0.00416264277864731,120116,2011-07-30,5.0
debt-ceiling,1.0,0.000600013200290406,166663,2011-08-01,1.0
debt-ceiling,2.0,0.00122901457611287,162732,2011-08-02,2.0
debt-ceiling,1.0,0.000559440559440559,178750,2012-05-09,1.0
debt-ceiling,1.0,0.000534188034188034,187200,2012-08-01,1.0
,count,percentage,total,day,raw_count
fiscal+cliff,1.0,0.00153320147800622,65223,2003-03-17,1.0
fiscal+cliff,1.0,0.000412573592814618,242381,2003-06-24,1.0
fiscal+cliff,1.0,0.00121942296905105,82006,2003-09-26,1.0
fiscal+cliff,1.0,0.00156201187129022,64020,2004-03-08,1.0
fiscal+cliff,1.0,0.0004489458750853,222744,2004-03-24,1.0
fiscal+cliff,1.0,0.000631895560301793,158254,2005-03-15,1.0
fiscal+cliff,2.0,0.00106382978723404,188000,2007-09-18,2.0
fiscal+cliff,1.0,0.00055317383487761,180775,2008-06-04,1.0
fiscal+cliff,1.0,0.000371610448199362,269099,2009-04-02,1.0
fiscal+cliff,2.0,0.00109605857337016,182472,2009-04-28,2.0
fiscal+cliff,2.0,0.00114551473704709,174594,2009-06-17,2.0
fiscal+cliff,1.0,0.000583161786574449,171479,2010-03-04,1.0
fiscal+cliff,1.0,0.000604178498495596,165514,2010-03-25,1.0
fiscal+cliff,4.0,0.00873877613440238,45773,2010-08-02,4.0
fiscal+cliff,1.0,0.0,0,2011-02-16,1.0
fiscal+cliff,1.0,0.0,0,2011-03-07,1.0
fiscal+cliff,1.0,0.0,0,2011-04-04,1.0
fiscal+cliff,1.0,0.000860015308272487,116277,2011-07-11,1.0
fiscal+cliff,2.0,0.00122615887340523,163111,2011-07-19,2.0
fiscal+cliff,1.0,0.000603416544474816,165723,2011-11-02,1.0
fiscal+cliff,1.0,0.000716481217444885,139571,2011-12-13,1.0
fiscal+cliff,1.0,0.00136135918100632,73456,2012-01-24,1.0
fiscal+cliff,1.0,0.000453961494985995,220283,2012-02-16,1.0
fiscal+cliff,1.0,0.000940079342696524,106374,2012-04-24,1.0
fiscal+cliff,1.0,0.000528759213629297,189122,2012-05-10,1.0
fiscal+cliff,1.0,0.000822510466445685,121579,2012-05-15,1.0
fiscal+cliff,2.0,0.00153030384182779,130693,2012-05-16,2.0
fiscal+cliff,1.0,0.000953707059339653,104854,2012-05-17,1.0
fiscal+cliff,16.0,0.0282710486792119,56595,2012-05-22,16.0
fiscal+cliff,16.0,0.0120358668833123,132936,2012-06-06,16.0
fiscal+cliff,13.0,0.0111186185544085,116921,2012-06-07,13.0
fiscal+cliff,2.0,0.0076555023923445,26125,2012-06-08,2.0
fiscal+cliff,3.0,0.00383327796376275,78262,2012-06-12,3.0
fiscal+cliff,1.0,0.00146168912795627,68414,2012-06-18,1.0
fiscal+cliff,1.0,0.000694381757202475,144013,2012-06-21,1.0
fiscal+cliff,1.0,0.00100820680337951,99186,2012-06-26,1.0
fiscal+cliff,11.0,0.00817685800514399,134526,2012-06-27,11.0
fiscal+cliff,4.0,0.0043886597033266,91144,2012-07-10,4.0
fiscal+cliff,1.0,0.00127860887354558,78210,2012-07-11,1.0
fiscal+cliff,3.0,0.00355416548194484,84408,2012-07-12,3.0
fiscal+cliff,9.0,0.010769028274682,83573,2012-07-16,9.0
fiscal+cliff,4.0,0.00409039779118519,97790,2012-07-17,4.0
fiscal+cliff,14.0,0.0141238663075169,99123,2012-07-18,14.0
fiscal+cliff,9.0,0.00759288630918233,118532,2012-07-19,9.0
fiscal+cliff,11.0,0.00736032117765139,149450,2012-07-24,11.0
fiscal+cliff,25.0,0.0,0,2012-07-25,25.0
fiscal+cliff,3.0,0.0019781611014401,151656,2012-07-26,3.0
fiscal+cliff,2.0,0.00443941310958691,45051,2012-07-30,2.0
fiscal+cliff,3.0,0.00127875602613777,234603,2012-07-31,3.0
fiscal+cliff,8.0,0.00448380226432014,178420,2012-08-01,8.0
fiscal+cliff,6.0,0.00276432727792086,217051,2012-08-02,6.0
fiscal+cliff,1.0,0.00173457528924043,57651,2012-08-03,1.0
fiscal+cliff,11.0,0.0082687493892401,133031,2012-09-10,11.0
fiscal+cliff,6.0,0.00451643984102132,132848,2012-09-11,6.0
fiscal+cliff,1.0,0.00081829712368561,122205,2012-09-12,1.0
fiscal+cliff,25.0,0.0111099754247344,225023,2012-09-13,25.0
fiscal+cliff,2.0,0.00311701265507138,64164,2012-09-14,2.0
fiscal+cliff,12.0,0.00602793949958056,199073,2012-09-19,12.0
fiscal+cliff,19.0,0.0114698283147804,165652,2012-09-20,19.0
fiscal+cliff,2.0,0.000924513474783895,216330,2012-09-21,2.0
fiscal+cliff,2.0,0.0262536098713573,7618,2012-09-25,2.0
fiscal+cliff,2.0,0.00583634878020311,34268,2012-09-28,2.0
fiscal+cliff,5.0,0.00646362273126842,77356,2012-11-13,5.0
fiscal+cliff,23.0,0.0263552922572735,87269,2012-11-14,23.0
fiscal+cliff,24.0,0.0155756163725687,154087,2012-11-15,24.0
fiscal+cliff,4.0,0.00785299198994817,50936,2012-11-16,4.0
fiscal+cliff,10.0,0.034654837815359,28856,2012-11-26,10.0
fiscal+cliff,15.0,0.00916735931159243,163624,2012-11-27,15.0
fiscal+cliff,31.0,0.023963945856943,129361,2012-11-28,31.0
fiscal+cliff,11.0,0.0232322378981161,47348,2012-11-30,11.0
fiscal+cliff,3.0,0.00555452693945566,54010,2012-12-03,3.0
fiscal+cliff,24.0,0.0259019825809167,92657,2012-12-04,24.0
fiscal+cliff,41.0,0.0344130064377502,119141,2012-12-05,41.0
fiscal+cliff,35.0,0.0576577763866695,60703,2012-12-06,35.0
fiscal+cliff,2.0,0.00869565217391304,23000,2012-12-10,2.0
fiscal+cliff,24.0,0.0326140131543186,73588,2012-12-11,24.0
fiscal+cliff,54.0,0.0370871479296443,145603,2012-12-12,54.0
fiscal+cliff,57.0,0.0455595431257044,125111,2012-12-13,57.0
fiscal+cliff,2.0,0.00286209018446171,69879,2012-12-17,2.0
fiscal+cliff,19.0,0.0176537267946407,107626,2012-12-18,19.0
fiscal+cliff,20.0,0.0117242915596825,170586,2012-12-19,20.0
fiscal+cliff,19.0,0.0273259409472034,69531,2012-12-20,19.0
fiscal+cliff,16.0,0.0181237398337147,88282,2012-12-21,16.0
fiscal+cliff,15.0,0.0155625875395549,96385,2012-12-27,15.0
fiscal+cliff,15.0,0.0257470948694622,58259,2012-12-28,15.0
fiscal+cliff,20.0,0.0345757554802572,57844,2012-12-30,20.0
fiscal+cliff,57.0,0.0418112332846758,136327,2012-12-31,57.0
fiscal+cliff,16.0,0.0326997751890456,48930,2013-01-01,16.0
fiscal+cliff,3.0,0.0044441810855653,67504,2013-01-02,3.0
fiscal+cliff,7.0,0.01166900046676,59988,2013-01-03,7.0
fiscal+cliff,3.0,0.0108369757612975,27683,2013-01-04,3.0
fiscal+cliff,3.0,0.00738497895280998,40623,2013-01-15,3.0
fiscal+cliff,11.0,0.00750376893848956,146593,2013-01-22,11.0
fiscal+cliff,19.0,0.0217329139262225,87425,2013-01-23,19.0
fiscal+cliff,12.0,0.0158123599947292,75890,2013-01-24,12.0
fiscal+cliff,2.0,0.00441092144148913,45342,2013-01-28,2.0
fiscal+cliff,3.0,0.00535035936580407,56071,2013-01-29,3.0
fiscal+cliff,7.0,0.0166873271669686,41948,2013-01-31,7.0
